==========================================================================
Local scoring -- Member 3 validation (final numbers come from evaluation/)
==========================================================================

function      system         tests    pass     cov   mutation
--------------------------------------------------------------------------
function_01   Baseline_A   5/6         83%   76.3%    100.0% (109/109)
function_01   Baseline_A   6/7         86%   76.3%    100.0% (109/109)
function_01   Baseline_A   5/6         83%   76.3%    100.0% (109/109)
function_01   Baseline_B   6/7         86%   76.3%    100.0% (109/109)
function_01   Baseline_B   7/8         88%   76.3%    100.0% (109/109)
function_01   Baseline_B   7/8         88%   76.3%    100.0% (109/109)
function_02   Baseline_A   5/5        100%   66.7%    100.0% (3/3)
function_02   Baseline_A   5/5        100%   66.7%    100.0% (3/3)
function_02   Baseline_A   5/5        100%   66.7%    100.0% (3/3)
function_02   Baseline_B   4/4        100%   66.7%    100.0% (3/3)
function_02   Baseline_B   6/6        100%   66.7%    100.0% (3/3)
function_02   Baseline_B   7/7        100%   66.7%    100.0% (3/3)
function_03   Baseline_A   6/6        100%   80.0%    100.0% (6/6)
function_03   Baseline_A   6/6        100%   80.0%    100.0% (6/6)
function_03   Baseline_A   6/6        100%   80.0%    100.0% (6/6)
function_03   Baseline_B   8/8        100%   80.0%    100.0% (6/6)
function_03   Baseline_B   7/7        100%   80.0%    100.0% (6/6)
function_03   Baseline_B   7/7        100%   80.0%    100.0% (6/6)
function_04   Baseline_A   6/6        100%   75.0%     85.7% (6/7)
function_04   Baseline_A   5/5        100%   75.0%     85.7% (6/7)
function_04   Baseline_A   6/6        100%   75.0%     85.7% (6/7)
function_04   Baseline_B   7/7        100%   75.0%     85.7% (6/7)
function_04   Baseline_B   6/6        100%   75.0%     85.7% (6/7)
function_04   Baseline_B   6/6        100%   75.0%     85.7% (6/7)
function_05   Baseline_A   6/6        100%   72.7%    100.0% (15/15)
function_05   Baseline_A   5/5        100%   72.7%    100.0% (15/15)
function_05   Baseline_A   6/6        100%   72.7%    100.0% (15/15)
function_05   Baseline_B   6/7         86%   72.7%    100.0% (15/15)
function_05   Baseline_B   6/6        100%   72.7%    100.0% (15/15)
function_05   Baseline_B   6/6        100%   72.7%    100.0% (15/15)
function_06   Baseline_A   6/7         86%   80.0%    100.0% (8/8)
function_06   Baseline_A   6/7         86%   80.0%    100.0% (8/8)
function_06   Baseline_A   6/7         86%   80.0%    100.0% (8/8)
function_06   Baseline_B   7/8         88%   80.0%    100.0% (8/8)
function_06   Baseline_B   8/8        100%   80.0%    100.0% (8/8)
function_06   Baseline_B   8/8        100%   80.0%    100.0% (8/8)
function_07   Baseline_A   5/6         83%   74.1%    100.0% (33/33)
function_07   Baseline_A   4/4        100%   74.1%     81.8% (27/33)
function_07   Baseline_A   5/6         83%   74.1%    100.0% (33/33)
function_07   Baseline_B   6/6        100%   74.1%     81.8% (27/33)
function_07   Baseline_B   4/5         80%   74.1%    100.0% (33/33)
function_07   Baseline_B   5/6         83%   74.1%    100.0% (33/33)
function_08   Baseline_A   8/9         89%   65.7%    100.0% (58/58)
function_08   Baseline_A   8/9         89%   65.7%    100.0% (58/58)
function_08   Baseline_A   7/9         78%   65.7%    100.0% (58/58)
function_08   Baseline_B   0/1          0%    0.0%    100.0% (58/58)
function_08   Baseline_B   11/12        92%   65.7%    100.0% (58/58)
function_08   Baseline_B   6/6        100%   65.7%     79.3% (46/58)
function_09   Baseline_A   8/8        100%   69.6%     94.4% (34/36)
function_09   Baseline_A   7/7        100%   69.6%     94.4% (34/36)
function_09   Baseline_A   7/7        100%   69.6%     94.4% (34/36)
function_09   Baseline_B   8/8        100%   69.6%     94.4% (34/36)
function_09   Baseline_B   8/8        100%   69.6%     94.4% (34/36)
function_09   Baseline_B   9/9        100%   69.6%     94.4% (34/36)
function_10   Baseline_A   8/8        100%   58.3%     88.9% (32/36)
function_10   Baseline_A   8/8        100%   58.3%     88.9% (32/36)
function_10   Baseline_A   10/10       100%   58.3%     88.9% (32/36)
function_10   Baseline_B   10/10       100%   58.3%     88.9% (32/36)
function_10   Baseline_B   12/12       100%   58.3%     88.9% (32/36)
function_10   Baseline_B   12/12       100%   58.3%     88.9% (32/36)
function_11   Baseline_A   6/6        100%   66.7%     74.1% (20/27)
function_11   Baseline_A   6/6        100%   66.7%     74.1% (20/27)
function_11   Baseline_A   7/7        100%   66.7%     74.1% (20/27)
function_11   Baseline_B   8/8        100%   66.7%     77.8% (21/27)
function_11   Baseline_B   9/9        100%   66.7%     77.8% (21/27)
function_11   Baseline_B   9/9        100%   66.7%     81.5% (22/27)
function_12   Baseline_A   7/7        100%   83.3%     80.9% (55/68)
function_12   Baseline_A   6/6        100%   90.0%     91.2% (62/68)
function_12   Baseline_A   6/6        100%   90.0%     91.2% (62/68)
function_12   Baseline_B   9/9        100%   90.0%     92.6% (63/68)
function_12   Baseline_B   9/9        100%   90.0%     91.2% (62/68)
function_12   Baseline_B   7/7        100%   90.0%     89.7% (61/68)
function_13   Baseline_A   10/10       100%   76.9%     95.7% (66/69)
function_13   Baseline_A   9/10        90%   76.9%    100.0% (69/69)
function_13   Baseline_A   9/9        100%   76.9%     95.7% (66/69)
function_13   Baseline_B   10/11        91%   76.9%    100.0% (69/69)
function_13   Baseline_B   12/13        92%   76.9%    100.0% (69/69)
function_13   Baseline_B   12/13        92%   76.9%    100.0% (69/69)
function_14   Baseline_A   7/8         88%   72.2%    100.0% (19/19)
function_14   Baseline_A   8/8        100%   72.2%     89.5% (17/19)
function_14   Baseline_A   6/7         86%   72.2%    100.0% (19/19)
function_14   Baseline_B   9/9        100%   72.2%     94.7% (18/19)
function_14   Baseline_B   9/9        100%   72.2%     94.7% (18/19)
function_14   Baseline_B   10/10       100%   72.2%     89.5% (17/19)
function_15   Baseline_A   7/7        100%   59.1%     95.7% (22/23)
function_15   Baseline_A   7/7        100%   59.1%     95.7% (22/23)
function_15   Baseline_A   7/7        100%   59.1%     95.7% (22/23)
function_15   Baseline_B   8/8        100%   59.1%     95.7% (22/23)
function_15   Baseline_B   9/9        100%   59.1%     95.7% (22/23)
function_15   Baseline_B   8/8        100%   59.1%     95.7% (22/23)
function_16   Baseline_A   7/7        100%   73.7%     89.1% (41/46)
function_16   Baseline_A   6/6        100%   73.7%     89.1% (41/46)
function_16   Baseline_A   6/6        100%   73.7%     87.0% (40/46)
function_16   Baseline_B   8/8        100%   73.7%     89.1% (41/46)
function_16   Baseline_B   9/9        100%   73.7%     89.1% (41/46)
function_16   Baseline_B   7/7        100%   73.7%     89.1% (41/46)
function_17   Baseline_A   9/9        100%   78.6%    100.0% (12/12)
function_17   Baseline_A   6/6        100%   78.6%     91.7% (11/12)
function_17   Baseline_A   8/8        100%   78.6%    100.0% (12/12)
function_17   Baseline_B   8/8        100%   78.6%    100.0% (12/12)
function_17   Baseline_B   6/6        100%   78.6%    100.0% (12/12)
function_17   Baseline_B   9/9        100%   78.6%    100.0% (12/12)
function_18   Baseline_A   0/1          0%   36.8%    100.0% (6/6)
function_18   Baseline_A   0/1          0%   36.8%    100.0% (6/6)
function_18   Baseline_A   0/1          0%   36.8%    100.0% (6/6)
function_18   Baseline_B   0/1          0%   36.8%    100.0% (6/6)
function_18   Baseline_B   0/1          0%   36.8%    100.0% (6/6)
function_18   Baseline_B   0/1          0%   36.8%    100.0% (6/6)
function_19   Baseline_A   12/12       100%   70.4%     79.7% (55/69)
function_19   Baseline_A   12/12       100%   70.4%     73.9% (51/69)
function_19   Baseline_A   11/11       100%   70.4%     76.8% (53/69)
function_19   Baseline_B   12/13        92%   70.4%    100.0% (69/69)
function_19   Baseline_B   12/12       100%   70.4%     75.4% (52/69)
function_19   Baseline_B   14/14       100%   70.4%     79.7% (55/69)
function_20   Baseline_A   4/5         80%   75.0%    100.0% (52/52)
function_20   Baseline_A   14/15        93%   75.0%    100.0% (52/52)
function_20   Baseline_A   8/9         89%   75.0%    100.0% (52/52)
function_20   Baseline_B   8/9         89%   75.0%    100.0% (52/52)
function_20   Baseline_B   4/5         80%   75.0%    100.0% (52/52)
function_20   Baseline_B   0/1          0%   75.0%    100.0% (52/52)
function_21   Baseline_A   9/9        100%   68.8%     89.5% (17/19)
function_21   Baseline_A   10/10       100%   68.8%     89.5% (17/19)
function_21   Baseline_A   10/10       100%   68.8%     89.5% (17/19)
function_21   Baseline_B   10/10       100%   68.8%     89.5% (17/19)
function_21   Baseline_B   10/10       100%   68.8%     89.5% (17/19)
function_21   Baseline_B   12/12       100%   68.8%     89.5% (17/19)
function_22   Baseline_A   7/7        100%   55.6%    100.0% (8/8)
function_22   Baseline_A   7/7        100%   55.6%    100.0% (8/8)
function_22   Baseline_A   6/6        100%   55.6%    100.0% (8/8)
function_22   Baseline_B   7/7        100%   55.6%    100.0% (8/8)
function_22   Baseline_B   8/8        100%   55.6%    100.0% (8/8)
function_22   Baseline_B   8/8        100%   55.6%    100.0% (8/8)
function_23   Baseline_A   5/6         83%  100.0%    100.0% (68/68)
function_23   Baseline_A   6/6        100%  100.0%     94.1% (64/68)
function_23   Baseline_A   6/6        100%  100.0%     94.1% (64/68)
function_23   Baseline_B   7/7        100%  100.0%     95.6% (65/68)
function_23   Baseline_B   7/8         88%  100.0%    100.0% (68/68)
function_23   Baseline_B   7/8         88%  100.0%    100.0% (68/68)
function_24   Baseline_A   5/5        100%   74.3%     81.8% (63/77)
function_24   Baseline_A   6/10        60%   74.3%    100.0% (77/77)
function_24   Baseline_A   6/9         67%   74.3%    100.0% (77/77)
function_24   Baseline_B   5/9         56%   74.3%    100.0% (77/77)
function_24   Baseline_B   7/10        70%   74.3%    100.0% (77/77)
function_24   Baseline_B   8/11        73%   74.3%    100.0% (77/77)
function_25   Baseline_A   6/6        100%   47.4%     93.8% (105/112)
function_25   Baseline_A   5/5        100%   47.4%     92.9% (104/112)
function_25   Baseline_A   6/6        100%   47.4%     92.9% (104/112)
function_25   Baseline_B   5/5        100%   47.4%     93.8% (105/112)
function_25   Baseline_B   5/5        100%   47.4%     91.1% (102/112)
function_25   Baseline_B   5/5        100%   47.4%     93.8% (105/112)
function_26   Baseline_A   6/6        100%   92.6%     90.9% (30/33)
function_26   Baseline_A   6/6        100%   92.6%     87.9% (29/33)
function_26   Baseline_A   6/6        100%   92.6%     87.9% (29/33)
function_26   Baseline_B   6/6        100%   92.6%     90.9% (30/33)
function_26   Baseline_B   5/5        100%   92.6%     87.9% (29/33)
function_26   Baseline_B   6/6        100%   92.6%     93.9% (31/33)
function_27   Baseline_A   4/5         80%   84.6%    100.0% (16/16)
function_27   Baseline_A   6/6        100%   84.6%    100.0% (16/16)
function_27   Baseline_A   4/5         80%   84.6%    100.0% (16/16)
function_27   Baseline_B   5/5        100%   84.6%    100.0% (16/16)
function_27   Baseline_B   7/7        100%   84.6%    100.0% (16/16)
function_27   Baseline_B   6/6        100%   84.6%    100.0% (16/16)
function_28   Baseline_A   5/6         83%   92.9%    100.0% (32/32)
function_28   Baseline_A   6/6        100%   92.9%     90.6% (29/32)
function_28   Baseline_A   5/5        100%   92.9%     90.6% (29/32)
function_28   Baseline_B   7/7        100%   92.9%     90.6% (29/32)
function_28   Baseline_B   10/11        91%   92.9%    100.0% (32/32)
function_28   Baseline_B   8/8        100%   92.9%     93.8% (30/32)
function_29   Baseline_A   4/5         80%   88.2%    100.0% (26/26)
function_29   Baseline_A   6/7         86%   88.2%    100.0% (26/26)
function_29   Baseline_A   4/6         67%   88.2%    100.0% (26/26)
function_29   Baseline_B   5/6         83%   88.2%    100.0% (26/26)
function_29   Baseline_B   6/6        100%   88.2%     96.2% (25/26)
function_29   Baseline_B   6/6        100%   88.2%     96.2% (25/26)
function_30   Baseline_A   5/7         71%   90.5%    100.0% (39/39)
function_30   Baseline_A   4/7         57%   90.5%    100.0% (39/39)
function_30   Baseline_A   6/7         86%   90.5%    100.0% (39/39)
function_30   Baseline_B   4/5         80%   90.5%    100.0% (39/39)
function_30   Baseline_B   6/7         86%   90.5%    100.0% (39/39)
function_30   Baseline_B   5/7         71%   90.5%    100.0% (39/39)

Mean by system
--------------------------------------------------------------------------
  Baseline_A               mutation   94.4%   coverage   73.7%   (n=90)
  Baseline_B               mutation   95.1%   coverage   73.0%   (n=90)

  n is far too small to compare systems -- this is a smoke test,
  not a result. RQ1 needs 30 functions x 3 repeats and a Wilcoxon test.
